Repet;Bloc;N-Produit_Dose;Surface_Percent_Septo_F3_T20j;Surface_Percent_Septo_F2_T32j;Surface_Percent_Septo_F1_T40j
101;1;1-Temoin;6;9;60
102;1;6_CodeA_066;;2;1
103;1;8_CodeA_20;;1;1
104;1;10-RevyXB_06;;3;5
105;1;2-Keynote_08;;6;8
106;1;4_RevystarXL_08;;2;3
107;1;7_CodeA_1325;;1;0
108;1;11-Atrium+Pavecto60_05+12;;2;10
109;1;5_RevystarXL_12;;3;4
110;1;9_CodeB_10;;3;8
111;1;3_RevystarXL_04;;9;9
112;1;12-Imtrex+Sulky_08+08;;7;6
201;2;6_CodeA_066;;2;1
202;2;1-Temoin;6;10;63
203;2;9_CodeB_10;;5;8
204;2;12-Imtrex+Sulky_08+08;;2;5
205;2;10-RevyXB_06;;4;5
206;2;8_CodeA_20;;1;0
207;2;11-Atrium+Pavecto60_05+12;;3;7
208;2;2-Keynote_08;;4;7
209;2;4_RevystarXL_08;;3;4
210;2;7_CodeA_1325;;1;0
211;2;5_RevystarXL_12;;2;4
212;2;3_RevystarXL_04;;3;6
301;3;11-Atrium+Pavecto60_05+12;;4;9
302;3;7_CodeA_1325;;2;1
303;3;4_RevystarXL_08;;3;6
304;3;9_CodeB_10;;7;9
305;3;6_CodeA_066;;2;2
306;3;1-Temoin;8;9;57
307;3;8_CodeA_20;;2;0
308;3;3_RevystarXL_04;;6;9
309;3;10-RevyXB_06;;4;8
310;3;5_RevystarXL_12;;4;6
311;3;12-Imtrex+Sulky_08+08;;4;7
312;3;2-Keynote_08;;7;14
401;4;12-Imtrex+Sulky_08+08;;2;2
402;4;5_RevystarXL_12;;1;4
403;4;7_CodeA_1325;;2;0
404;4;2-Keynote_08;;6;7
405;4;11-Atrium+Pavecto60_05+12;;3;14
406;4;6_CodeA_066;;5;2
407;4;1-Temoin;7;12;49
408;4;9_CodeB_10;;6;5
409;4;3_RevystarXL_04;;4;11
410;4;8_CodeA_20;;2;0
411;4;10-RevyXB_06;;8;8
412;4;4_RevystarXL_08;;6;4
